"","LATITUDE","LONGITUDE"
"328212",40.84173,-73.94434
"328219",40.834675,-73.942444
"328230",40.718792,-73.98902
"328232",40.83923,-73.94555
"328235",40.701782,-74.01117
"328276",40.762486,-73.96298
"328287",40.781025,-73.981316
"328302",40.848965,-73.932915
"328308",40.763374,-73.99647
"328312",40.704025,-74.01257
"328313",40.764732,-73.96637
"328319",40.754093,-73.99209
"328320",40.752815,-73.98138
"328335",40.759678,-73.97216
"328373",40.7693,-73.986916
"328377",40.805058,-73.93904
"328379",40.790066,-73.94709
"328383",40.764362,-73.96162
"328389",40.72988,-73.993004
"328399",40.796112,-73.97075
"328405",40.729267,-73.97759
"328407",40.758537,-73.97721
"328412",40.75974,-73.97423
"328419",40.717606,-74.00222
"328420",40.76786,-73.96408
"328435",40.758976,-73.99394
"328437",40.76484,-73.98054
"328438",40.7711,-73.96594
"328444",40.753925,-73.99761
"328447",40.7491,-73.99201
"328466",40.768448,-73.98701
"328473",40.774654,-73.9541
"328476",40.729168,-74.0012
"328511",40.768803,-73.952324
"328521",40.75524,-73.97328
"328522",40.755405,-73.97949
"328543",40.714478,-74.01354
"328544",40.798443,-73.97089
"328546",40.747765,-73.98296
"328548",40.771152,-73.97966
"328570",40.74135,-73.981316
"328579",40.768646,-73.96983
"328581",40.743473,-73.97677
"328584",40.758427,-73.99264
"328588",40.753513,-73.98879
"328591",40.851696,-73.932
"328593",40.71609,-73.99571
"328594",40.74658,-73.99756
"328668",40.76222,-73.97875
"328670",40.76403,-73.982475
"328674",40.725723,-73.98976
"328675",40.760677,-73.9873
"328676",40.766556,-73.96294
"328683",40.727478,-74.005486
"328685",40.759624,-73.99548
"328690",40.760403,-73.98748
"328700",40.73993,-73.97943
"328719",40.74987,-73.98589
"328723",40.764263,-73.983
"328731",40.757732,-73.99686
"328741",40.75484,-73.98412
"328756",40.752724,-73.98146
"328757",40.863853,-73.917496
"328758",40.714924,-74.016075
"328765",40.74595,-73.99802
"328769",40.769638,-73.9919
"328772",40.786484,-73.97218
"328786",40.819958,-73.944016
"328791",40.73136,-73.98257
"328804",40.776318,-73.962135
"328808",40.718555,-73.988205
"328828",40.72428,-74.01138
"328868",40.788883,-73.97786
"328890",40.827824,-73.94201
"328899",40.765675,-73.97624
"328910",40.767815,-73.98951
"328956",40.797493,-73.95065
"328957",40.801346,-73.948105
"328970",40.718777,-73.995705
"328975",40.74955,-74.00654
"328976",40.73736,-73.99685
"328990",40.753475,-73.99254
"328999",40.721127,-73.987404
"329005",40.745037,-73.98705
"329016",40.829834,-73.94481
"329022",40.851433,-73.93509
"329029",40.759842,-73.984184
"329031",40.713207,-73.97739
"329035",40.72118,-73.98757
"329036",40.749783,-73.98979
"329037",40.814774,-73.94038
"329039",40.76547,-73.97005
"329043",40.849213,-73.9338
"329054",40.722874,-73.98587
"329058",40.867435,-73.92107
"329063",40.72293,-73.98865
"329070",40.866806,-73.93101
"329083",40.748436,-73.9962
"329089",40.808537,-73.94492
"329094",40.724216,-73.99288
"329095",40.706852,-74.00501
"329100",40.731018,-73.985916
"329101",40.75712,-73.98355
"329109",40.84989,-73.93332
"329118",40.76649,-73.95696
"329121",40.757645,-73.98949
"329124",40.804066,-73.93267
"329125",40.71737,-73.999016
"329140",40.726986,-73.985756
"329159",40.727844,-73.98223
"329161",40.799866,-73.9545
"329175",40.76229,-73.986115
"329182",40.719593,-73.986755
"329183",40.7606,-73.96434
"329185",40.757233,-73.9898
"329191",40.717926,-73.98568
"329192",40.720966,-74.00408
"329208",40.7489,-73.984245
"329209",40.788948,-73.94057
"329219",40.774292,-73.95127
"329233",40.770035,-73.99159
"329251",40.709305,-74.01194
"329255",40.742813,-73.98865
"329259",40.79084,-73.97457
"329266",40.778095,-73.9783
"329289",40.80942,-73.94149
"329290",40.764614,-73.95833
"329306",40.75638,-73.991776
"329318",40.82691,-73.93896
"329326",40.760822,-73.99832
"329332",40.818237,-73.94473
"329353",40.80815,-73.94641
"329360",40.75502,-73.97558
"329369",40.748245,-73.976295
"329382",40.757828,-73.99308
"329390",40.743782,-73.97352
"329392",40.722534,-73.99922
"329404",40.72388,-73.996956
"329407",40.748123,-73.977905
"329418",40.72455,-73.992455
"329419",40.771645,-73.98855
"329420",40.815487,-73.94727
"329427",40.78536,-73.97299
"329438",40.75495,-73.99148
"329439",40.833626,-73.94578
"329440",40.851204,-73.93522
"329446",40.82798,-73.936554
"329456",40.724037,-73.99232
"329466",40.75696,-73.97929
"329472",40.744232,-73.98764
"329480",40.76007,-73.97504
"329485",40.7427,-73.99297
"329528",40.789623,-73.94007
"329531",40.797962,-73.937065
"329535",40.784943,-73.946594
"329538",40.728306,-73.99275
"329548",40.756763,-73.96716
"329576",40.74854,-73.97315
"329577",40.75582,-73.970764
"329589",40.847717,-73.9349
"329593",40.76311,-73.962524
"329614",40.712234,-73.99508
"329618",40.74967,-73.99531
"329619",40.720997,-73.993935
"329620",40.75638,-73.98779
"329629",40.848392,-73.937675
"329631",40.73809,-73.99212
"329633",40.848114,-73.93622
"329638",40.746197,-73.989006
"329656",40.75603,-73.979034
"329664",40.73426,-73.98356
"329665",40.753098,-73.97788
"329670",40.846046,-73.94025
